,Cat贸licos,Acat贸licos,Cat贸licos,Acat贸licos
0,30903,80,25641,7
1,128396,193,119169,21
2,141865,77,142100,59
3,90313,9,88105,0
4,350868,38,338857,10
5,112717,4,108238,0
6,179429,4,175266,1
7,381361,204,370906,40
8,155557,27,156683,1
9,74739,0,78881,0
10,630196,157,581384,55
11,29377,230,29687,184
12,132552,1328,91553,600
13,255433,373,234066,215
14,346326,1973,331217,1221
15,58755,549,56594,264
16,67635,5453,66742,4988
17,187182,3840,173617,2383
18,845840,1752,820290,1394
19,74967,1,74775,0
20,27975,16,25749,10
21,4302386,16313,4089520,11453
